project_root,mapper_interface,method_name,param_count,source_file,line_number
"D:\git\usCode\dbu-mod-delivery","com.cds.airwaybillno.mapper.AirwaybillnoOperateLogMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/airwaybillno/mapper/AirwaybillnoOperateLogMapper.java",11
"D:\git\usCode\dbu-mod-delivery","com.cds.airwaybillno.mapper.AirwaybillnoOperateLogMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/airwaybillno/mapper/AirwaybillnoOperateLogMapper.java",13
"D:\git\usCode\dbu-mod-delivery","com.cds.airwaybillno.mapper.AirwaybillnoSyncMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/airwaybillno/mapper/AirwaybillnoSyncMapper.java",11
"D:\git\usCode\dbu-mod-delivery","com.cds.airwaybillno.mapper.AirwaybillnoSyncMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/airwaybillno/mapper/AirwaybillnoSyncMapper.java",13
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.AppleDriverTaskMapper","findAddresseeScanCount",5,"cirro-system/src/main/java/com/cds/apple/mapper/AppleDriverTaskMapper.java",80
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.AppleDriverTaskMapper","findTWaybillLongitudeList",1,"cirro-system/src/main/java/com/cds/apple/mapper/AppleDriverTaskMapper.java",128
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.AppleDriverTaskMapper","getUserNewTodayTaskInfo",2,"cirro-system/src/main/java/com/cds/apple/mapper/AppleDriverTaskMapper.java",73
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.AppleRoutePlanTaskMapper","getDriverNotWaybillNoListCount",2,"cirro-system/src/main/java/com/cds/apple/mapper/AppleRoutePlanTaskMapper.java",102
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.AppleRoutePlanTaskMapper","getWaybillNoCountByPlanTaskId",2,"cirro-system/src/main/java/com/cds/apple/mapper/AppleRoutePlanTaskMapper.java",51
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.AppleRoutePlanTaskMapper","selectIdListByBeforeConfigDate",3,"cirro-system/src/main/java/com/cds/apple/mapper/AppleRoutePlanTaskMapper.java",120
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.DeliverySignRecordMapper","deleteByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/DeliverySignRecordMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.DeliverySignRecordMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/DeliverySignRecordMapper.java",21
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.DeliverySignRecordNotReceivedMapper","deleteBySignId",1,"cirro-system/src/main/java/com/cds/apple/mapper/DeliverySignRecordNotReceivedMapper.java",39
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.DeliverySignRecordNotReceivedMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/DeliverySignRecordNotReceivedMapper.java",22
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.DeliverySignRecordNotReturnMapper","deleteBySignId",1,"cirro-system/src/main/java/com/cds/apple/mapper/DeliverySignRecordNotReturnMapper.java",35
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.DeliverySignRecordNotReturnMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/DeliverySignRecordNotReturnMapper.java",21
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubAssignTaskMapper","getTaskConfirmationCount",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubAssignTaskMapper.java",433
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubAssignTaskStopMapper","selectByTaskIdAndWaybill",2,"cirro-system/src/main/java/com/cds/apple/mapper/HubAssignTaskStopMapper.java",62
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubAssignTaskStopMapper","updateWaybillSort",3,"cirro-system/src/main/java/com/cds/apple/mapper/HubAssignTaskStopMapper.java",96
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubAssignTaskWaybillMapper","batchUpdateWaybillDelivery",2,"cirro-system/src/main/java/com/cds/apple/mapper/HubAssignTaskWaybillMapper.java",238
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubAssignTaskWaybillMapper","findTobeReceivedCount",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubAssignTaskWaybillMapper.java",222
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubAssignTaskWaybillMapper","findWaybillListByIndex",3,"cirro-system/src/main/java/com/cds/apple/mapper/HubAssignTaskWaybillMapper.java",336
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubAssignTaskWaybillMapper","updateTaskIdByIdList",2,"cirro-system/src/main/java/com/cds/apple/mapper/HubAssignTaskWaybillMapper.java",263
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubBoxPoolMapper","batchSaveBox",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubBoxPoolMapper.java",58
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubBoxPoolMapper","deleteByBoxNo",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubBoxPoolMapper.java",107
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubGenerateTaskBatchDetailMapper","updateByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubGenerateTaskBatchDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","cleanUnmatchedRegionTag",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",241
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","countExistsWaybill",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",304
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","findArrivalWaybillSummaryDetailsList",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",361
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","findDriverDeliveryAreaByPostCodeFf",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",380
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","findUnmatchedRegionWaybill",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",234
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","taskCreateDetailsList",2,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",374
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","updateWaybillAssignmentAbnormal",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",112
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","deleteByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",12
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","selectByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",18
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","updateByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",22
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",20
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.RoutePlanAddressMapper","deleteByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/RoutePlanAddressMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.RoutePlanAddressMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/RoutePlanAddressMapper.java",24
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.RoutePlanAddressMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/RoutePlanAddressMapper.java",28
